ranking,dane_code,city,department,school,sector,calendar,Matriculados,Publicados,puesto_saber_11,promedio_puntaje_global_saber_11,desviacion_general,isce_media,isce_secundaria,isce_primaria,saber_9_general,saber_5_general,saber_3_general,formula_1,formula_2,formula_3,total
7411,270670000017,SAMPUÉS,SUCRE,INST EDUC INDIGENA TEC AGRO DE ESCOBAR ARRIBA,Oficial,A,78,75,8739,208,34,4.064.674.854,40.132.761,6.010.066.509,269.5,301,315,54.68,46.96,85.41,62.35
7412,327372000111,JURADÓ,CHOCO,IE SAN ROQUE DE LA FRONTERA,Oficial,A,33,30,9462,177,14,3.754.450.798,3.877.784.729,5.518.414.497,261.5,278,307.5,51.20,43.84,92.00,62.35
7413,105789000235,TÁMESIS,ANTIOQUIA,I. E. SAN ANTONIO DE PADUA,Oficial,A,99,99,5875,242,47,4.238.211.632,476.693.821,4.337.272.644,314,315.5,305,58.83,44.47,83.74,62.35
7414,123555000167,PLANETA RICA,CORDOBA,INST.EDUC.NTRA SRA LA CANDELARIA,Oficial,A,119,118,4428,254,45,4.320.426.941,4.392.153.263,4.587.967.873,297.5,310.5,295.5,57.88,44.34,84.82,62.34
7415,108685000020,SANTO TOMÁS,ATLANTICO,INSTITUCION EDUCATIVA TECNICA AGROINDUSTRIAL ORIENTAL,Oficial,A,119,100,3966,258,43,5.343.229.771,3.864.495.754,4.681.732.178,283.5,283.5,321,57.30,46.30,83.43,62.34
7416,219256003734,EL TAMBO,CAUCA,I.E. DE CHISQUIO,Oficial,A,18,18,6906,232,29,457.396.698,0,0,285.5,279.5,251,52.40,45.74,88.89,62.34
7417,105001005339,MEDELLÍN,ANTIOQUIA,INST EDUC MONSE?OR FRANCISCO CRISTOBAL TORO,Oficial,A,127,117,5755,243,42,4.196.439.743,4.929.028.511,4.464.301.586,311.5,294,304,57.63,45.30,84.10,62.34
7418,120178000042,CHIRIGUANÁ,CESAR,I.E. JUAN MEJIA GOMEZ,Oficial,A,128,122,7544,226,40,4.021.739.006,3.959.848.642,6.940.634.251,274.5,261.5,298.5,53.03,49.74,84.26,62.34
7419,213244001975,EL CARMEN DE BOLÍVAR,BOLIVAR,I.E. GABRIEL GARCIA TABOADA,Oficial,A,58,56,7764,223,37,5.005.365.849,504.045.248,4.995.339.394,271,262,276,51.60,50.14,85.28,62.34
7420,305001021821,MEDELLÍN,ANTIOQUIA,COL GENTE UNIDA JOVENES POR LA PAZ-SANTO DOMINGO,Privado,A,8,8,2253,275,36,4.733.933.449,3.868.850.946,4.007.667.542,307,271,278,56.55,42.03,88.42,62.34
