Código DANE,País/ET/Municipios,Departamento,Establecimientos educativos,Sector,Calendario,Matriculados,Publicados,PUESTO SABER11,Promedio Puntaje Global SABER 11,Desviación General,FORMULA 1,FORMULA 2,FORMULA 3,TOTAL
373001004396,IBAGUÉ,TOLIMA,COL INGLES,Privado,A,18,17,11,374,30,0.8155,0.868028227,0.921617162,0.868381796
219001000812,POPAYÁN,CAUCA,I.E. POBLAZÓN,Oficial,A,7,7,7378,223,19,0.52675,#N/A,0.921487603,#N/A
273622000683,RONCESVALLES,TOLIMA,INSTITUCION EDUCATIVA TECNICA LA VOZ DE LA TIERRA,Oficial,A,25,34,5371,243,34,0.5605,0.445761951,0.921444043,0.642568665
425799000602,TENJO,CUNDINAMARCA,COLEGIO BILINGUE LERNER & KLEIN,Privado,A,9,9,119,340,29,0.7665,0.815776634,0.921409214,0.834561949
311001089540,BOGOTÁ D.C.,BOGOTÁ D.C.,GIMN NUEVO MODELIA,Privado,A,44,43,147,336,28,0.774,0.839312506,0.921328671,0.844880392
420013001749,AGUSTÍN CODAZZI,CESAR,COLEGIO NUESTRA SE_ORA DE LAS FLORES,Privado,A,14,14,1593,281,24,0.6455,0.707535791,0.921311475,0.758115756
366001000742,PEREIRA,RISARALDA,COL CALASANZ,Privado,A,75,76,72,346,30,0.74,0.827024539,0.921276596,0.829433712
308001076242,BARRANQUILLA,ATLANTICO,CENT.EDUC.ESPIRITU SANTO,Privado,A,21,29,8778,199,29,0.517,#N/A,0.921261487,#N/A
241016000288,AIPE,HUILA,IE SANTA RITA,Oficial,A,9,10,7134,226,22,0.58125,0.670220439,0.921146953,0.724205797
315693000298,SANTA ROSA DE VITERBO,BOYACA,I.E. RAFAEL REYES,Privado,A,20,20,245,327,28,0.72625,#N/A,0.921126761,#N/A
308758001258,SOLEDAD,ATLANTICO,NUEVO COLEGIO MARIA MONTESSORI,Privado,A,18,18,246,327,28,0.7735,0.882977676,0.921126761,0.859201479
325386000685,LA MESA,CUNDINAMARCA,NUEVO GIMNASIO LOS OCOBOS,Privado,A,19,18,181,333,27,0.742,0.799161736,0.921052632,0.820738123
313001006698,CARTAGENA DE INDIAS,BOLIVAR,COL. EL DIVINO SALVADOR,Privado,A,16,16,437,315,27,0.673,0.734934139,0.921052632,0.776328924
315001003444,CÓMBITA,BOYACA,COUNTRY BILINGUAL SCHOOL,Privado,A,17,16,159,335,27,0.76875,0.792022657,0.921026974,0.827266544
227615000536,RIOSUCIO,CHOCO,IE INDÍGENA AGROP DE ISLETA,Oficial,A,17,17,9173,163,14,0.44325,0.340733337,0.920903955,0.568295764
105001002526,MEDELLÍN,ANTIOQUIA,INST EDUC SAMUEL BARRIENTOS RESTREPO,Oficial,A,76,109,5067,246,40,0.5815,0.537552071,0.920868605,0.679973559
341001004672,NEIVA,HUILA,INSTITUTO DE FORMACIÓN SCOUT JOSÉ JULIÁN MARTÍ (ANTES INSTITUTO HUILENSE JOSÉ MARTÍ),Privado,A,27,24,257,326,25,0.716,0.845085637,0.920861032,0.827315556
205001012534,MEDELLÍN,ANTIOQUIA,INST EDUC SAN ANTONIO DE PRADO,Oficial,A,69,102,3771,257,46,0.582,0.541210763,0.920792079,0.681334281
311769000564,BOGOTÁ D.C.,BOGOTÁ D.C.,COLEGIO CRISTO REY BOGOTA,Privado,A,64,64,137,337,29,0.76425,0.791976213,0.920765027,0.825663747
311001087989,BOGOTÁ D.C.,BOGOTÁ D.C.,COLEGIO COLSUBSIDIO CIUDADELA,Privado,A,201,213,259,326,30,0.749,0.772230403,0.920761362,0.813997255
308001078261,BARRANQUILLA,ATLANTICO,CENTRO EDUCATIVO BOSTON INTERNACIONAL,Privado,A,26,24,20,365,29,0.78325,0.800685549,0.920734088,0.834889879
205615000125,RIONEGRO,ANTIOQUIA,I. E. DOMINGO SAVIO,Oficial,A,15,16,2415,269,25,0.61025,0.495837609,0.920634921,0.675574177
